customer_id,churn_probability,risk_level,retention_priority,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,TechSupport,OnlineSecurity,PaperlessBilling,actual_churn
1767-CJKBA,0.004512246698141,LOW,MONITOR,66,25.1,1697.7,Two year,No,Mailed check,No internet service,No internet service,No,No
7181-BQYBV,0.8906952738761902,HIGH,URGENT,1,102.45,102.45,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,Yes
0178-CIIKR,0.1537544131278991,LOW,MONITOR,3,19.95,58.0,Month-to-month,No,Mailed check,No internet service,No internet service,No,No
4256-ZWTZI,0.3198989331722259,MEDIUM,ENGAGE,5,51.0,286.8,Month-to-month,DSL,Mailed check,Yes,No,Yes,No
9537-VHDTA,0.4197601974010467,MEDIUM,ENGAGE,1,51.2,51.2,Month-to-month,DSL,Mailed check,No,Yes,No,No
2754-XBHTB,0.5709717869758606,MEDIUM,ENGAGE,9,77.65,714.15,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,Yes
5975-BAICR,0.0813074484467506,LOW,MONITOR,36,63.7,2188.5,One year,DSL,Credit card (automatic),No,Yes,Yes,No
3301-VKTGC,0.0598216950893402,LOW,MONITOR,68,85.5,5696.6,One year,Fiber optic,Bank transfer (automatic),No,Yes,Yes,No
2877-VDUER,0.0266061089932918,LOW,MONITOR,35,40.9,1383.6,One year,DSL,Mailed check,Yes,No,No,No
7717-BICXI,0.0107953157275915,LOW,MONITOR,60,20.55,1205.05,Two year,No,Mailed check,No internet service,No internet service,No,No
0562-FGDCR,0.0013312521623447,LOW,MONITOR,72,74.55,5430.65,Two year,DSL,Mailed check,Yes,Yes,No,No
3705-PSNGL,0.0189079716801643,LOW,MONITOR,45,20.4,930.45,One year,No,Electronic check,No internet service,No internet service,Yes,Yes
0048-LUMLS,0.2187724858522415,LOW,MONITOR,37,91.2,3247.55,One year,Fiber optic,Credit card (automatic),No,No,No,No
6497-TILVL,0.1691349297761917,LOW,MONITOR,7,50.7,350.35,Month-to-month,DSL,Mailed check,No,Yes,No,No
2108-YKQTY,0.2702580094337463,LOW,MONITOR,4,50.7,151.3,Month-to-month,DSL,Credit card (automatic),No,No,No,Yes
3658-KIBGF,0.6528590321540833,HIGH,URGENT,1,54.9,54.9,Month-to-month,DSL,Electronic check,No,Yes,Yes,Yes
5482-NUPNA,0.1816591322422027,LOW,MONITOR,4,60.4,272.15,Month-to-month,DSL,Mailed check,Yes,Yes,Yes,Yes
7410-KTVFV,0.2142325937747955,LOW,MONITOR,18,49.55,878.35,Month-to-month,DSL,Mailed check,No,No,Yes,Yes
9033-EOXWV,0.2102801352739334,LOW,MONITOR,12,74.05,872.65,One year,DSL,Mailed check,Yes,No,No,Yes
8821-XNHVZ,0.8564419150352478,HIGH,URGENT,1,80.05,80.05,Month-to-month,Fiber optic,Mailed check,No,No,Yes,Yes
8224-KDLKN,0.0013860877370461,LOW,MONITOR,72,25.0,1738.9,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,No
4825-FUREZ,0.0090089868754148,LOW,MONITOR,42,20.25,835.5,Two year,No,Electronic check,No internet service,No internet service,No,No
7534-BFESC,0.4825457334518432,MEDIUM,ENGAGE,24,76.1,1712.7,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
9138-EFSMO,0.1142457425594329,LOW,MONITOR,26,78.95,2034.25,One year,Fiber optic,Bank transfer (automatic),No,No,No,No
4227-OJHAL,0.1254024654626846,LOW,MONITOR,68,73.0,5163.0,One year,DSL,Credit card (automatic),No,Yes,Yes,No
7279-NMVJC,0.0546880513429641,LOW,MONITOR,17,19.9,323.15,One year,No,Bank transfer (automatic),No internet service,No internet service,No,No
8591-TKMZH,0.0284481365233659,LOW,MONITOR,59,111.1,6555.2,Two year,Fiber optic,Mailed check,Yes,Yes,Yes,No
9283-LZQOH,0.5113890767097473,MEDIUM,ENGAGE,13,74.4,896.75,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,Yes
3594-IVHJZ,0.1178276464343071,LOW,MONITOR,2,20.45,42.45,Month-to-month,No,Mailed check,No internet service,No internet service,Yes,No
1945-XISKS,0.0067963986657559,LOW,MONITOR,67,19.65,1335.2,Two year,No,Mailed check,No internet service,No internet service,No,No
4359-INNWN,0.030004471540451,LOW,MONITOR,17,20.05,337.9,One year,No,Credit card (automatic),No internet service,No internet service,No,No
7649-SIJJF,0.0027720646467059,LOW,MONITOR,71,80.1,5585.4,Two year,DSL,Mailed check,Yes,Yes,Yes,No
9254-RBFON,0.2346546947956085,LOW,MONITOR,17,98.6,1704.95,One year,Fiber optic,Bank transfer (automatic),Yes,No,No,Yes
0970-ETWGE,0.845069169998169,HIGH,URGENT,1,89.55,89.55,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
7762-ONLJY,0.0352324582636356,LOW,MONITOR,6,19.7,94.45,One year,No,Mailed check,No internet service,No internet service,No,No
6710-HSJRD,0.1992287188768386,LOW,MONITOR,61,114.1,7132.15,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,No
8873-GLDMH,0.6520760655403137,HIGH,URGENT,6,73.85,401.3,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No
9907-SWKKF,0.6846010684967041,HIGH,URGENT,1,25.05,25.05,Month-to-month,DSL,Mailed check,No,No,No,Yes
4658-HCOHW,0.5268333554267883,MEDIUM,ENGAGE,21,102.8,2110.15,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,Yes
9330-VOFSZ,0.0742717161774635,LOW,MONITOR,60,110.8,6640.7,Two year,Fiber optic,Credit card (automatic),Yes,No,Yes,No
2860-RANUS,0.4463109970092773,MEDIUM,ENGAGE,20,85.8,1727.5,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,Yes
6234-PFPXL,0.3600485622882843,MEDIUM,ENGAGE,22,95.9,2234.95,Month-to-month,Fiber optic,Credit card (automatic),Yes,Yes,No,No
7205-BAIAD,0.0073486440815031,LOW,MONITOR,40,20.6,827.3,Two year,No,Bank transfer (automatic),No internet service,No internet service,Yes,No
3858-VOBET,0.5185242295265198,MEDIUM,ENGAGE,23,74.95,1710.45,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
5103-MHMHY,0.4875013828277588,MEDIUM,ENGAGE,1,45.95,45.95,Month-to-month,DSL,Mailed check,No,No,No,Yes
6119-SPUDB,0.0148045141249895,LOW,MONITOR,46,38.25,1755.35,Two year,DSL,Mailed check,Yes,Yes,No,No
9389-ACWBI,0.4467810988426208,MEDIUM,ENGAGE,5,69.95,320.4,Month-to-month,Fiber optic,Credit card (automatic),No,No,No,No
3454-JFUBC,0.0037016125861555,LOW,MONITOR,68,20.0,1396.0,Two year,No,Credit card (automatic),No internet service,No internet service,Yes,No
1768-ZAIFU,0.799320638179779,HIGH,URGENT,1,25.2,25.2,Month-to-month,DSL,Electronic check,No,No,Yes,Yes
7017-VFULY,0.1929856538772583,LOW,MONITOR,2,20.1,43.15,Month-to-month,No,Bank transfer (automatic),No internet service,No internet service,No,No
9221-OTIVJ,0.6938958764076233,HIGH,URGENT,14,104.85,1531.4,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
2482-CZGBB,0.5309726595878601,MEDIUM,ENGAGE,10,70.0,740.0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
7018-WBJNK,0.4831537306308746,MEDIUM,ENGAGE,13,78.3,1033.95,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,No
3331-HQDTW,0.1998128294944763,LOW,MONITOR,34,109.8,3587.25,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,Yes
4695-VADHF,0.1314094066619873,LOW,MONITOR,18,57.45,990.85,Month-to-month,DSL,Electronic check,No,No,No,Yes
4086-WITJG,0.0014784525847062,LOW,MONITOR,71,19.7,1301.1,Two year,No,Credit card (automatic),No internet service,No internet service,No,No
6297-NOOPG,0.1265099048614502,LOW,MONITOR,70,110.5,7752.05,Two year,Fiber optic,Electronic check,Yes,No,Yes,No
8777-PVYGU,0.0229258723556995,LOW,MONITOR,52,64.3,3410.6,One year,DSL,Mailed check,No,Yes,Yes,No
4378-MYPGO,0.1089676171541214,LOW,MONITOR,68,105.25,7173.15,Two year,Fiber optic,Bank transfer (automatic),No,Yes,Yes,No
9313-CDOGY,0.054085087031126,LOW,MONITOR,38,19.6,717.3,Month-to-month,No,Electronic check,No internet service,No internet service,No,No
4121-AGSIN,0.0262450985610485,LOW,MONITOR,58,24.5,1497.9,One year,No,Credit card (automatic),No internet service,No internet service,Yes,No
0432-CAJZV,0.6572181582450867,HIGH,URGENT,3,90.7,237.65,Month-to-month,Fiber optic,Mailed check,No,No,No,No
9097-ZUBYC,0.1795952320098877,LOW,MONITOR,14,48.8,664.4,Month-to-month,DSL,Bank transfer (automatic),Yes,No,No,No
9638-JIQYA,0.6135432124137878,HIGH,URGENT,2,24.9,49.7,Month-to-month,DSL,Credit card (automatic),No,No,Yes,No
1024-GUALD,0.7044128179550171,HIGH,URGENT,1,24.8,24.8,Month-to-month,DSL,Electronic check,No,No,Yes,Yes
8024-XNAFQ,0.0068095210008323,LOW,MONITOR,72,107.4,7748.75,Two year,Fiber optic,Bank transfer (automatic),Yes,Yes,Yes,No
7587-RZNME,0.564134418964386,MEDIUM,ENGAGE,3,43.3,123.65,Month-to-month,DSL,Electronic check,No,No,Yes,Yes
1346-UFHAX,0.43675497174263,MEDIUM,ENGAGE,13,80.0,1029.35,Month-to-month,Fiber optic,Credit card (automatic),No,Yes,Yes,No
6374-NTQLP,0.0286749023944139,LOW,MONITOR,72,104.1,7447.7,Two year,Fiber optic,Credit card (automatic),Yes,Yes,Yes,No
6625-FLENO,0.0145250782370567,LOW,MONITOR,58,20.75,1185.95,Two year,No,Mailed check,No internet service,No internet service,No,No
7375-WMVMT,0.0129414219409227,LOW,MONITOR,71,95.5,6707.15,Two year,Fiber optic,Credit card (automatic),Yes,No,Yes,No
6910-HADCM,0.8180016875267029,HIGH,URGENT,1,76.35,76.35,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
7401-JIXNM,0.0181445088237524,LOW,MONITOR,54,91.3,4965.0,Two year,DSL,Credit card (automatic),Yes,Yes,No,No
7338-ERIVA,0.025537472218275,LOW,MONITOR,39,45.05,1790.6,One year,DSL,Bank transfer (automatic),Yes,Yes,No,No
5376-DEQCP,0.799950897693634,HIGH,URGENT,1,70.6,70.6,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
0909-SELIE,0.0082119647413492,LOW,MONITOR,61,80.8,4860.85,Two year,DSL,Bank transfer (automatic),Yes,Yes,Yes,No
5419-KLXBN,0.3165912628173828,MEDIUM,ENGAGE,25,89.15,2257.75,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,Yes
0365-TRTPY,0.1501745879650116,LOW,MONITOR,37,91.2,3382.3,Month-to-month,Fiber optic,Bank transfer (automatic),No,Yes,No,No
6712-OAWRH,0.5987653732299805,MEDIUM,ENGAGE,26,91.25,2351.8,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
2428-ZMCTB,0.0491387397050857,LOW,MONITOR,10,19.75,208.25,Month-to-month,No,Credit card (automatic),No internet service,No internet service,No,No
1963-VAUKV,0.2812619209289551,LOW,MONITOR,1,20.4,20.4,Month-to-month,No,Mailed check,No internet service,No internet service,No,Yes
9381-NDKME,0.3628310859203338,MEDIUM,ENGAGE,24,40.65,933.3,Month-to-month,DSL,Credit card (automatic),No,No,Yes,Yes
3729-OWRVL,0.2736423909664154,LOW,MONITOR,65,110.35,7246.15,Two year,Fiber optic,Electronic check,Yes,Yes,Yes,No
0895-LMRSF,0.1729097068309784,LOW,MONITOR,23,64.9,1509.8,One year,DSL,Bank transfer (automatic),No,No,Yes,No
2676-SSLTO,0.0468555204570293,LOW,MONITOR,49,66.15,3199.0,Two year,DSL,Bank transfer (automatic),Yes,No,Yes,No
8495-PRWFH,0.3405090868473053,MEDIUM,ENGAGE,42,55.65,2421.75,Month-to-month,DSL,Electronic check,No,No,No,No
9030-QGZNL,0.0138904023915529,LOW,MONITOR,8,20.85,161.65,Two year,No,Mailed check,No internet service,No internet service,No,No
9972-NKTFD,0.0819699019193649,LOW,MONITOR,28,54.65,1517.5,Month-to-month,DSL,Bank transfer (automatic),Yes,No,No,No
7998-WNZEM,0.005823025945574,LOW,MONITOR,71,80.6,5708.2,Two year,DSL,Bank transfer (automatic),Yes,Yes,No,No
0979-PHULV,0.4849848747253418,MEDIUM,ENGAGE,69,99.45,7007.6,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,Yes
6445-TNRXS,0.1079408973455429,LOW,MONITOR,68,114.7,7849.85,Two year,Fiber optic,Bank transfer (automatic),Yes,Yes,Yes,No
9586-JGQKH,0.028400432318449,LOW,MONITOR,64,105.4,6794.75,Two year,Fiber optic,Bank transfer (automatic),Yes,No,Yes,No
3966-HRMZA,0.5405644774436951,MEDIUM,ENGAGE,3,75.05,202.9,Month-to-month,Fiber optic,Mailed check,No,No,No,No
5498-IBWPI,0.039218358695507,LOW,MONITOR,66,49.4,3251.85,One year,DSL,Credit card (automatic),Yes,No,Yes,No
6823-SIDFQ,0.0030518409330397,LOW,MONITOR,28,18.25,534.7,One year,No,Credit card (automatic),No internet service,No internet service,No,No
2323-ARSVR,0.0778584703803062,LOW,MONITOR,67,111.05,7321.05,Two year,Fiber optic,Electronic check,Yes,Yes,Yes,No
5468-BPMMO,0.0586563050746917,LOW,MONITOR,46,19.6,851.2,Month-to-month,No,Electronic check,No internet service,No internet service,No,No
0486-HECZI,0.3435685932636261,MEDIUM,ENGAGE,55,96.75,5238.9,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,Yes
2178-PMGCJ,0.3639701604843139,MEDIUM,ENGAGE,22,69.7,1490.4,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No
4660-IRIBM,0.4422083795070648,MEDIUM,ENGAGE,18,87.9,1500.5,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,No
9674-EHPPG,0.0165341310203075,LOW,MONITOR,46,40.4,1842.7,Two year,DSL,Credit card (automatic),Yes,Yes,No,No
5606-AMZBO,0.4663616716861725,MEDIUM,ENGAGE,10,78.15,765.15,Month-to-month,Fiber optic,Credit card (automatic),No,Yes,Yes,No
0665-XHDJU,0.1604264676570892,LOW,MONITOR,72,99.4,7285.7,Two year,Fiber optic,Electronic check,No,No,Yes,No
5402-HTOTQ,0.4061668217182159,MEDIUM,ENGAGE,16,55.3,875.35,Month-to-month,DSL,Electronic check,No,No,No,No
8258-GSTJK,0.8146929144859314,HIGH,URGENT,3,77.0,237.75,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
3787-TRIAL,0.3966442942619324,MEDIUM,ENGAGE,21,26.05,565.75,Month-to-month,DSL,Electronic check,No,No,Yes,No
6175-IRFIT,0.50160151720047,MEDIUM,ENGAGE,5,78.75,426.35,Month-to-month,Fiber optic,Mailed check,No,No,No,No
6317-YPKDH,0.4748122096061706,MEDIUM,ENGAGE,1,29.95,29.95,Month-to-month,DSL,Bank transfer (automatic),No,No,No,Yes
5692-FPTAH,0.5585282444953918,MEDIUM,ENGAGE,1,45.4,45.4,Month-to-month,DSL,Mailed check,No,No,Yes,Yes
5373-SFODM,0.4573439955711365,MEDIUM,ENGAGE,36,85.25,3132.75,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,Yes
0868-VJRDR,0.0330962613224983,LOW,MONITOR,64,104.05,6605.55,Two year,Fiber optic,Credit card (automatic),Yes,Yes,Yes,No
4079-VTGLK,0.0631246864795684,LOW,MONITOR,30,74.85,2181.75,Two year,DSL,Electronic check,No,No,No,No
1166-PQLGG,0.0024694274179637,LOW,MONITOR,72,19.55,1463.45,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,No
5296-BFCYD,0.0074348379857838,LOW,MONITOR,46,20.1,936.85,Two year,No,Mailed check,No internet service,No internet service,Yes,No
6568-POCUI,0.0300674270838499,LOW,MONITOR,45,95.2,4285.8,Two year,Fiber optic,Credit card (automatic),Yes,No,Yes,No
2839-RFSQE,0.0924843251705169,LOW,MONITOR,2,20.65,38.7,Month-to-month,No,Mailed check,No internet service,No internet service,No,Yes
2188-SXWVT,0.0517951063811779,LOW,MONITOR,34,55.0,1885.15,One year,DSL,Mailed check,No,Yes,No,No
8849-GYOKR,0.2901116013526916,LOW,MONITOR,54,106.55,5763.3,One year,Fiber optic,Bank transfer (automatic),No,Yes,No,Yes
3623-FQBOX,0.073317751288414,LOW,MONITOR,21,19.95,416.4,Month-to-month,No,Mailed check,No internet service,No internet service,Yes,No
2649-HWLYB,0.046294268220663,LOW,MONITOR,65,76.15,4929.55,Two year,DSL,Bank transfer (automatic),Yes,Yes,No,No
0599-XNYDO,0.2866450250148773,LOW,MONITOR,20,69.8,1540.35,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,No
2514-GINMM,0.8964033722877502,HIGH,URGENT,1,79.5,79.5,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
8401-EMUWF,0.1425460129976272,LOW,MONITOR,42,69.4,3058.3,Month-to-month,DSL,Bank transfer (automatic),No,Yes,Yes,No
5766-ZJYBB,0.3036724925041199,MEDIUM,ENGAGE,1,19.4,19.4,Month-to-month,No,Mailed check,No internet service,No internet service,No,Yes
2604-IJPDU,0.4457527101039886,MEDIUM,ENGAGE,20,96.55,1901.65,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,No
2501-XWWTZ,0.4072615802288055,MEDIUM,ENGAGE,11,70.2,760.05,Month-to-month,Fiber optic,Electronic check,No,No,No,No
6370-ZVHDV,0.0067070545628666,LOW,MONITOR,61,25.3,1554.9,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,No
3027-YNWZU,0.0116368103772401,LOW,MONITOR,64,25.0,1584.8,Two year,No,Credit card (automatic),No internet service,No internet service,No,No
4526-ZJJTM,0.3426831364631653,MEDIUM,ENGAGE,25,88.4,2191.15,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No,No
0440-QEXBZ,0.1279881745576858,LOW,MONITOR,44,50.15,2139.1,Month-to-month,DSL,Mailed check,No,No,Yes,No
0330-IVZHA,0.4629877209663391,MEDIUM,ENGAGE,5,69.95,330.15,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
9758-MFWGD,0.1907981038093567,LOW,MONITOR,48,29.9,1388.75,One year,DSL,Bank transfer (automatic),No,No,No,No
4229-CZMLL,0.7335166931152344,HIGH,URGENT,6,74.9,469.8,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
0742-MOABM,0.2608431279659271,LOW,MONITOR,4,50.05,179.35,Month-to-month,DSL,Mailed check,Yes,No,No,Yes
4277-BWBML,0.0027784558478742,LOW,MONITOR,72,19.95,1322.85,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,No
5136-GFPMB,0.2790678143501282,LOW,MONITOR,54,89.4,4869.5,Month-to-month,Fiber optic,Credit card (automatic),No,No,No,No
7520-HQWJU,0.0536394193768501,LOW,MONITOR,66,67.45,4508.65,Month-to-month,DSL,Bank transfer (automatic),No,Yes,Yes,No
6304-IJFSQ,0.4718751609325409,MEDIUM,ENGAGE,3,49.9,130.1,Month-to-month,DSL,Mailed check,No,No,Yes,Yes
0297-RBCSG,0.101828932762146,LOW,MONITOR,19,65.35,1231.85,One year,DSL,Bank transfer (automatic),Yes,No,Yes,No
6013-BHCAW,0.019924284890294,LOW,MONITOR,61,81.0,4976.15,Two year,DSL,Bank transfer (automatic),Yes,No,Yes,No
4402-FTBXC,0.2067561447620391,LOW,MONITOR,54,89.8,4667.0,Month-to-month,Fiber optic,Mailed check,No,Yes,No,No
1471-GIQKQ,0.3631471991539001,MEDIUM,ENGAGE,1,49.95,49.95,Month-to-month,DSL,Electronic check,No,No,No,No
4283-FUTGF,0.6704532504081726,HIGH,URGENT,19,79.85,1471.75,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
9548-LERKT,0.0049610892310738,LOW,MONITOR,24,19.75,483.15,Two year,No,Mailed check,No internet service,No internet service,No,No
8059-UDZFY,0.3479110300540924,MEDIUM,ENGAGE,33,105.35,3465.05,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,No
0410-IPFTY,0.4659883677959442,MEDIUM,ENGAGE,31,83.85,2674.15,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,No
2478-EEWWM,0.5086879134178162,MEDIUM,ENGAGE,59,44.3,2666.75,Month-to-month,DSL,Electronic check,No,No,Yes,No
